SKU	Title	Price_AR	Price_Gs_4to1	URL	Category	Available
	Bitchie &#8211; Spray lubricante multiorgásmico estimulante con L-Arginina y ácido láctico &#8211; 20ml	12200	48800	https://shop.sexitive.com/productos/bitchie-spray-lubricante-multi-orgasmico-estimulante-con-l-arginina-y-acido-lacti/		
	XXX For Her &#8211; Oleo orgasmico estimulante &#8211; 15ml (Nuevo packaging)	16540	66160	https://shop.sexitive.com/productos/new-oleo-orgasmico-estimulante-xxx-for-her-15ml/		
	Blue Sexy Drops &#8211; 30ml	22048	88192	https://shop.sexitive.com/productos/blue-sexy-drops/		
	Pink Sexy Drops &#8211; 20ml	22048	88192	https://shop.sexitive.com/productos/pink-sexy-drops-20ml/		
	SEXY PILL PINK &#8211; 4 Cápsulas	17144	68576	https://shop.sexitive.com/productos/sexy-pill-pink-4-capsulas-dfnqy/		
	SEXY PILL BLUE &#8211; 4 Cápsulas	17144	68576	https://shop.sexitive.com/productos/sexy-pill-blue/		
	Gel Lubricante Wet Neutro &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-neutro-75-ml-v6w2l/		
	Gel Lubricante Wet Anal &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-anal-75-ml-09kly/		
	Gel Lubricante Wet Like a Virgin 75ml	12800	51200	https://shop.sexitive.com/productos/gel-lubricante-wet-like-a-virgin-75ml-g9a1u/		
	Gel Lubricante Wet Ice Fresh EXTRA TIME &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-ice-fresh-extra-time-75-ml-cndvo/		
	Gel Lubricante Wet Calor &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-calor-75-ml-ph1pf/		
	Gel Lubricante Wet Naturals Aloe Vera &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-naturals-aloe-vera-75-ml-6x677/		
	Gel Lubricante Femenino Sweet Femme 75ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-femenino-sweet-femme-75ml-aa34w/		
WET02	Gel Lubricante Wet Anal &#8211; 75 ml	11030	44120	https://shop.sexitive.com/productos/gel-lubricante-wet-anal-75-ml-09kly/		
WET03	Gel Lubricante Wet Like a Virgin 75ml	12800	51200	https://shop.sexitive.com/productos/gel-lubricante-wet-like-a-virgin-75ml-g9a1u/		
